Fecha,Rating,Titulo,Reviews
"August 17, 2019",50,El mejor de bogota,"El mejor restaurante de bogota, ambiente, calidad, servicio, muy recomendado, carta amplia para comer lo que desees !!"
"August 7, 2019",50,Excelente lugar y comida. 100% recomendado,"El ambiente, la musica, la comida y atencion son excelentes en Andres Carne de Res. 100% recomendado."
"August 6, 2019",40,Agradable pero costoso,"Es un lugar maravilloso, agradable, divertido y aunque la comida es deliciosa, me parecen un poco excesivos los precios."
"August 3, 2019",50,Siempre funciona y funcionará bien,"Definitivamente un restaurante tan tradicional e icono o es un lugar para visitar, disfrutar y recomendar"
"July 28, 2019",50,Excelente!,"Lugar muy bueno para compartir empareja y en familia, ambiente acogedor y platos muy deliciosos y precios accesibles."
"July 27, 2019",30,Inmenso,"5 pisos de curiosidades por ver, una carpa de circo muchos corazones ollas frutas escenas divertidas por ver !"
"July 22, 2019",50,EL Restaurante,Es un gran restaurante...bar...de todo. Fuera de lo comun...no lo encuentras en ninguna otra parte...la carta...los ambientes...la comida...muy rico.
"July 21, 2019",50,Increible,Mejor experiencia en Latinoamérica. Desde la comida hasta la experiencia del servicio. 100% recomendado.
"July 12, 2019",50,Acogedor lugar en El Dorado,"Excelente merienda. Empleados súper amables y atentos. Café, tortica de almojabana y croissant de primer nivel."
"July 11, 2019",40,"una experiencia unica, ambiente excelente, comida muy rica, servicio muy bueno","una experiencia unica, ambiente excelente, comida muy rica, servicio muy bueno. Una oportunidad unica para conocer al pueblo colombiano"
"July 9, 2019",50,Buen lugar,"Excelente atencion, buena calidad, excelente ambiente colorido y muy buena comida. Una grata visita del lugar."
"June 23, 2019",40,Lugar infaltable en las visitas a Bogotá,"Aunque muy concurrido, la atención es buena y la experiencia gastronómica memorable. Es casi un lugar de culto."
"June 17, 2019",50,Excelente,"Muy buena relación entre precio y servicio recibido, la comida y el ambiente son excelentes! Nos sentimos muy a gusto."
"June 4, 2019",40,Mejorar el servicio,Los colaboradores deben capacitarse en mejorar el servicio y la experiencia en el establecimiento gastronómico .
"June 3, 2019",50,Desayuno espectacular,Delicioso. Tamal con huevos pericos y ateos de choclo. Los demás. Papaya. Jugos. Etc. Todo Excelente. Recomendado. Eso si $$$.
"May 27, 2019",50,El sabor de la comida es toda un experiencia,"La atencion desde la llegada al restaurant es bastante amigable y cortes, la atencion del muchacho que nos atendio maravillosa"
"May 16, 2019",20,la comida,el local el anbiente acogedor tiene fama pero la comida no tan bueno en canbio el restauran boyancence exelente
"May 9, 2019",10,Pesimoo,"Pesimoooo el servicio demorado, comida normal, precios excesivamente costosos, musica y ruido constante.. Nada rwcomendado😆"
"May 4, 2019",50,Imperdible en Bogota. Único en el mundo.,"Para lo que quieras el mejor lugar! Mi Restoran/bar/disco y restoran familiar favorito. Rica comida, ambiente increíble, decoración maravillosa."
"May 3, 2019",40,Típica comida de Colombia en Carnes,"Lugar típico de carnes, varios pisos, banda en vivo. Ideal para festejos y salidas grupales; sin embargo MUY RUIDOSO"
"May 2, 2019",50,excelente lugar,la comida muy buena y a unos precios accesibles full recomendado recomiendo las carnes y la comida tipica
"May 2, 2019",10,Costoso y malo,"El servicio es pésimo, hasta las servilletas las cobran. La comida es mala, las carnes duras y a veces rancias"
"May 1, 2019",40,Good picadura👍🏻,Buena comida y un servicio excelente hacen de este restaurant un sitio agradable para ir con la familia a comer.
"April 30, 2019",50,Buena comida y diversión!,"Un lugar impactante por su decoración, de buenas atenciones, rica comida y espectacular ambiente. Lo recomiendo!"
"April 27, 2019",30,Mejor el continente que el contenido,Vale la pena por el espectáculo pero la carne es muy normal y la comida en general es muy corriente.
"April 19, 2019",50,Una experiencia gastronómica,"Me encanta este lugar, la comida es deliciosa y el ambiente es inigualable. Lugar obligado para visitar!"
"April 16, 2019",50,Andrés Carne de Res @Bogotá es la mera Rumba!,"Deliciosa comida, excelente ambiente, buen servicio y buenos tragos! Un poco lejos del centro pero vale la pena!"
"April 6, 2019",50,Viaje a Colombia,"Me encantó el concepto 3 pisos de arte y diseño de música y ambiente, la comida deliciosa! Volvería siempre!"
"April 3, 2019",50,Impecable,Excelente atención y buena comida. La ambientación merece un capítulo aparte Nada está librado al azar Un 10
"March 31, 2019",50,Excelente experiencia,"Es un sitio espectacular, agradable, muy buena comida y cocteles, atención de todo el personal excelente"
"March 13, 2019",50,Excelente Comida,"un lugar para disfrutar en familia, la comida es muy economica, y son tipicos de colombia, recomendado al 100%"
"February 10, 2019",50,Obligatorio,"Es obligatorio ir al de Chia. Su ambiente, el servicio y la comida son insuperables. Es toda una experiencia inolvidable"
"January 17, 2019",50,Un must!,Hay que ir si o si! Excelente experiencia y la gastronomía buenisisima! El personal muy atento y amable!
"January 9, 2019",40,Buen ambiente para celebraciones,"Ambientación muy original y creativa, amplia y variada carta, buen servicio y buena relacion calidad/precio"
"January 7, 2019",50,EXCELENTE COMIDA,"Buenos días, El sitio es fantastico en cuanto a su decoración, el ambiente formidable y la comida genial"
"January 3, 2019",40,Celebración de cumpleaños,Buena atención. Excelente servicio a la mesa. Por eso cada vez que puedo vamos a compartir en tan excelente restaurante
"December 16, 2018",20,Costoso y mal servicio,"Más de 45min esperando por una entrada, luego 40 minutos más por un plato fuerte... Meseros con poco servicio"
"December 12, 2018",20,Te cobran el payaso.,"Por ver un payaso y unos cachivaches, te atracan descaradamente. Pura fama. Sitio snob. Comida muy normalita."
"December 12, 2018",50,Fuimos a comer,Delicioso ....me encanta ver al dueño realizando tareas como uno más....fuera de este mundo...vale la pena ir siempre
"December 11, 2018",50,Almuerzo diferente y variado,"Esse sítio es perfecto para comidas típicas de Colombia, ceviche, barriga de cerdo, patacones, plátano chips. La decoración es buenísima."
"November 20, 2018",50,Licenciado,Sitio agradable para disfrutar su exquisita comida y rumba mejor atención bien ambiente familiar cerca a Bogota
"November 18, 2018",30,Para ir una vez!,"Es un sitio famoso por su decoración y entretenimiento,sin embargo la comida no es nada del otro mundo."
"November 8, 2018",50,Para todos los paladares,Tremenda oferta de variedades de cortes de carnes y elaboración foodie para todos los paladares.Muy pintoresca ambientación.Lugar unico
"October 29, 2018",40,RICO RICO,"antojos para todos, gran calidad y servivio en sus platos y atencion, un ambiente agradable para compartir."
"October 24, 2018",50,Muy buen lugar,"Me encanto el lugar, la decoracion.... los tragos..... el ambiente....la musica en vivo.... y la comida muy rica...100% recomendable!!!"
"October 22, 2018",50,Gran nivel,"La comida espectacular, música, atención y ambiente inigualables, recomiendo plenamente este sitio. Vale la pena."
"October 8, 2018",40,Buena Comida y Variedad,"Es un lugar agradable con mucha variedad,el personal es atento y el ambiente es ideal para compartir"
"October 2, 2018",40,Reuniones Familiares,"De los mejores lugares para disfrutar reuniones de amigos, familia y emoresas....su comida y atención del personal es excelente."
"September 17, 2018",50,Delicioso,"El ambiente es súper, muy al estilo Rolo. Es un lugar para compartir cualquier celebración. La comida estaba sabrosa."
"September 15, 2018",50,Excelente,"Que buen restaurante y el ambiente es espectacular, se puede ir y comer cualquier cosa que todo es bueno."
"September 14, 2018",50,hay que ir,"un restaurante de 3 pisos, del infierno al cielo. Muy bien ambietado muy buenos platos buenas bebidas buena atencion"
"September 9, 2018",50,Lo.mejor de Bogotá,Divertido! Un lugar para ir cada vez que tenga la oportunidad sComida colombiano muy aceptable! Genial!
"August 28, 2018",30,no es nada del otro mundo,"me parece costosdo, muy normal la comida, los precvios son muy elevados, el humero es mejor, hay sitios mejores"
"August 26, 2018",50,Mejor comida mejor servicio.,Simplemente perfecto. La comida es realmente deliciosa y el servicio es impecable. Buen ambiente para cualquier ocasión.
"August 20, 2018",50,Excelente,"Excelente comida, el servicio fabuloso, las instalaciones geniales. Ademas recibomos souvenir, cantantes en la mesa, en fin...experiencia inolvidable"
"August 13, 2018",40,Esmero por ser mejores,"Ambiente agradable, comida bien preparada, siempre bien acompañados, noches ambientadas, buena musica, muy exquisito el lugar y comida."
"August 6, 2018",50,Delicioso,"La comida es realmente deliciosa. Un poco caro, eso sí, pero merece la pena. Los cóckteles también estaban buenísimos."
"July 29, 2018",50,Lo mejor en comidas y servicio,"Excelente lugar, no encontrarás uno menor en calidad y servicio, eso sí hay que tener buen presupuesto"
"July 22, 2018",50,Excelente,"La comida es deliciosa, el restaurante esta bien organizado y adecuado y la atenciones muy buena. Recomendado."
"July 16, 2018",50,Lugar mágico!,"Excelente lugar para comer, bailar, divertirse y pasar un momento diferente! Un lugar nunca visto en cuanto a ambientación...💖💫😍🎉."
"July 14, 2018",50,Cena con colegas,"Cena de colegas, excelente la comida, el lugar muy entretenido, definitivamente lo visitaría otra vez"
"July 10, 2018",50,Un lugar espectacular!!,"Un lugar divertido, colorido, agradable, con una gastronomía deliciosa y variada, una atención esmerada y excelente música."
"July 10, 2018",20,$1.000 bocado de aguacate! Juzguen ustedes,Por 4 pedacitos de aguacate cobran un extra de $4.000 en la ensalada. Ósea cada bocado a $1.000. Abusan!!!!
"June 27, 2018",40,Un lujo,un ambiente increíblemente decorado.... La comida exquisita... La atención inmejorable... Los tres niveles te llevan a vivir instancias de ensueños...
"June 19, 2018",50,Vacaciones,Lugar emblematico y muy concurrido. Excelente variedad de comida y de actividad. Excelwnte. Hay que visitarlo.
"June 18, 2018",50,Excelente,Excelente opción siempre para compartir con amigos y familia. Las entradas son increibles. Recomendado
"June 4, 2018",50,Divertido y sabroso,"La atención es muy buena y la comida rica osobuco, arepa, lomo... Todo lo que ordenes te va a agradar"
"May 31, 2018",50,Imperdible,"Un excelente lugar para distintas actividades, profesionales, alimentación y relajo! Fantástico y altamente recomendable."
"May 26, 2018",50,Día de los maestros de Cajica,"Mágico lugar, Excelente restaurante, decoración original, deliciosos platos, buena música, y maravillosa elección"
"May 24, 2018",40,Excelente para probar la comida local,"Un lugar super colorido, personal amigable y ambiente sano y familiar. La comida estuvo rica y economica"
"May 20, 2018",50,Excelente Comida,"Es muy bueno el lugar, y la comida es de primera, precios variados. se come muy rico. Atención,servicio muy bueno,"
"May 10, 2018",40,Fantastic,"Un lugar fantástico para pasar un buen rato.Buena música,buena comida,buen trago,grupos de animadores...para repetir"
"May 8, 2018",50,Cena de trabajo,"Muy buena atención, ambiente y comida, recomendable 100% felicidades por el servicio! Lugar muy tradicional y sabroso"
"May 8, 2018",50,Comida,"Increíble lugar, cada vez que voy a este lugar sorprende, muy rico para comer y tomar unos drinks muy recomendable"
"May 6, 2018",50,buen ambiente y comida rica,"Es un buen plan para diferentes edades, entretenido y gran variedad de comida y actividades, especial para visitantes"
"April 20, 2018",50,Cumpleaños,"Un lugar agradable tienen mucha variedad de comida, muy buen servicio, celebramos un cumpleaños y todo fue excelente"
"April 15, 2018",50,Ultimo dia en colombia,"Dejando lo mejor para lo ultimo, ecxelente servicio, la comida y la musica muy buenas. Gracias. ......"
"April 13, 2018",50,Turístico,"Excelente local el ubicado en Chía. Amplio, interesante, ""loco"". Muchos distractivos. Buena recepción por grupo especial."
"April 4, 2018",50,Lomo al Trapo: una especialidad imperdible,"El lugar es muy especial y la atención de primera. Es un poco más caro, pero la experiencia lo merece"
"April 4, 2018",50,Un ambiente diferente para divertirse y comer rico,"Excelenteee...el ambiente, la comida, la atencion. Es un ambiente tipico pero diferente. Puedes comer, rumbear, charlar y divertirte."
"April 2, 2018",40,Una Cena Muy Rica...,"Lo ambiente descontraído e la decoración diferenciada, nos proporciona una experiencia muy agradable."
"April 1, 2018",50,Delicioso,"La comida es deliciosa, en especial platos típicos como el ajiaco, bandeja paisa y los jugos naturales."
"March 28, 2018",50,Excelente,"Muy rico, buena atencion, el lugar muy agradables, realmente muy contento, volveria sin dudar a este sitio"
"March 26, 2018",50,Si vas a Bogotá no puedes faltar,Lo mejor para conocer la verdadera onda y cultura Colombiana. Un lugar maravilloso y encantador para comer y bailar. Excelente
"March 18, 2018",50,Lo mejor!!!,"Tenia michas ganas de conocwr este lugar, muy divertido, comida deliciosa, el servicio, exelente. Volveré 😉"
"March 18, 2018",50,A divertirse!,"Divertido,vibrante, colorido!! Perfecto para compartir con amigos y familia, un gran ambiente y excelente atencion."
"March 15, 2018",50,Andresito Bacaneado,"Excelente comida tipica, un ambiente espectacular, te lo recomiendo papi!! El ambiente de rumba es super tambien."
"March 12, 2018",50,Excelente,"Excelente servicio, excelente comida, excelente precio, excelente ambiente vale la pena visitarlo en familia o con amigos."
"March 4, 2018",50,Ambiente excelente!,"Es un lugar alegre y dinámico, con buenos platos, tragos, ambiente y música, tanto envasada como en vivo."
"March 3, 2018",40,Me encanto!,"Lugar extraordinario con buen ambiente, comida excelente con grandes proporciones de la mismas! Mucha amabilidad y atención!"
"March 3, 2018",30,Visita Juan valdez,"Muy buen sitio para tomarse un café, les sugiero ajustar los precios acorde con la calidad de los productos."
"March 3, 2018",40,Almuerzo con amigos,"Muy agradable, sabroso, buena atención y bastante.El lugar ubicado cerca a Chía es bien amplio y agradable."
"March 3, 2018",50,Rumba en Chia,"Yo creo que es la mejor rumba de Bogota y sus alrededores, sitio especial para llevar extranjeros, lo disfrutan intensamente!!"
"February 26, 2018",40,Buena comida,Muy buena comida y un lugar bastante curioso un sitio para pasar un rato agradable con la familia...
"February 23, 2018",50,Almuerzo,Excelente para disfrutar los diferentes platos típicos atención esmerada y ambientación espectacular rincón de costumbres colombianas
"February 23, 2018",50,Buen lugar,Buen lugar para disfrutar de una buena cena en un buen ambiente los meseros muy atento todo el tiempo.
"February 10, 2018",50,Excelente Restaurant,"Excelente servicio y comida, he ido varias veces y espero continuar haciéndolo. No es económico pero vale su precio."
"February 3, 2018",50,Delicioso,"La pasamos muy divertido es un lugar único ,buen ambiente sensacionales instalación gracias,queda fuera de la ciudad"
"January 31, 2018",50,Tremendo lugar,"Excelente atención, un lugar espectacular para disfrutar de platos típicos, ambiente alegre y música increíble."
"January 23, 2018",50,Espectacular! Es Colombia en un sólo lugar,Definitivamente un lugar al que volvería y recomendaría una y otra vez... imperdible para el turista.
"January 22, 2018",50,Excelente!,"Amigables, divertidos, ofrecen un servicio excelente! Yo fui sola y me hicieron sentir súper bienvenida! Inolvidable!"
"January 13, 2018",40,Recomendado,"El lugar como siempre muy agradable, la comida muy buena, el servicio súper cordial aunque un poco demorado."
"January 10, 2018",10,Restaurante caro y nada del otro mundo,"Los platos son exageradamente costosos, se puede encontrar mejores restaurantes y a la mitad del precio, no vale la pena."
"January 4, 2018",50,Un sitio increíble,Es emblemático y una experiencia inigualable. Me impresiona la calidad del servicio y de sus productos.
"January 1, 2018",30,Costoso,"Muy rico todo, comida, ambiente. Pero los precios son exageradamente elevados para el tipo de comida que allí se ofrece."
"December 13, 2017",50,Magnífico ambiente,"Exquisita carne, acompañamientos típicos colombianos, y un ambiente excepcional. Recomendable hacer reservación."
"December 13, 2017",10,Caro y lleno,"Todo es carísimo, siempre está llenísimo, nunca hay mesas, las opciones vegs son mínimas y carísimas. No volvería nunca."
"November 28, 2017",50,. Andres Carne de Res en Chia,"Tremenda experiencia para toda la familia, Regresaremos para pasar cumpleaños de lo bueno que es. Recomendado para pasar una tarde."
"November 25, 2017",30,sobrevalorado?,"nos pareció más familla que otra Cosa, comimos muy normal, para lo que pagamos, un poco incómodo y ruidoso"
"November 15, 2017",40,agradable,"buen servicio y comidas, los alimentos son frescos; varios ambientes para comodidad de los visitantes"
"November 6, 2017",50,Excelente,"Es un lugar espectacular, la comida es deliciosa y el servicio es buenísimo, una visita obligatoria."
"November 2, 2017",50,Excelente!,"Atención de primera, una gastronomía insuperable, el local es una locura!....decoración y ambiente insuperable!..."
"October 3, 2017",50,BUENA COMIDA BUEN AMBIENTE DE FIESTA,Sitio especial para celebraciones a todo dar o solo para comer. No hay que perderlo en visita a Bogotá.
"October 2, 2017",50,Excelente,"Buen Lugar, muy amplio, buena comida y tragos excelentes. Todos bailan, es seguro, atención personalizada y grato ambiente."
"September 25, 2017",50,Parranda Bacana,Tronco de rumba mono cuco papi!!! Tronco de recocha severa papi!!! Tienes que ir pa que cachaquees con firmeza!!
"September 23, 2017",50,Excelente inmejorable vuelvo a visitarlo cuándo regrese,"Mejor se daña fuimos, a celebrar el cumpleaños de mi hermano la comida es deliciosa y la atención inmejorable"
"September 24, 2017",10,Triste bisteck,Pedi un bisteck a caballo que tristeza por casi 40.000 pesos un bisteck asado sin guiso le ponen encima una cebolla y ya muy malo lo unico salvable el arroz
"September 24, 2017",50,Experiencia única,"Lo primero que hay que recalcar es la carta Infinita!! , uno puede pasar varios minutos tratando de elegir algo. Lo segundo la ambientación y la finalmente la comida es perfecta. también los jugos de Guanábana con Leche!"
"September 23, 2017",40,Siempre es un placer,"Andres Carne de Res es un sitio icónico de la ciudad, pero no por eso deja de ser un lugar con excelente servicio, ambiente agradable, divertido y la comida deliciosa!!! Siempre sera una buena opcion cuando visites Bogotá"
"September 23, 2017",50,Excelente inmejorable vuelvo a visitarlo cuándo regrese,"Mejor se daña fuimos, a celebrar el cumpleaños de mi hermano la comida es deliciosa y la atención inmejorable"
"September 22, 2017",40,De Vacaciones,"Muy lindo lugar. Divertido, muy buena cocina, tanto Colombiana como Internacional. Muy buena atención por parte del personal. Un lugar para tomar algo, como para almorzar o cenar"
"September 22, 2017",40,Muy bueno ¡vale la pena!,"La comida excelente y también los cocteles. El precio es proporcional a la calidad. El ambiente es normal, pudieran tener mejor música y más diversión. Recomendado!"
"September 22, 2017",30,Demora en el Servicio,Pedí una botella de Vodka para disfrutar en familia pero se demoraron demasiado en entregarla. Pensamos que nunca iba a llegar a nuestra mesa
"September 20, 2017",50,Otra dimensiòn para el paladar en carnes,"Una de los mejores ambientes para disfrutar en grupo, te atienden de maravilla y te hacen sentir un visitante ilustre literlamente te ponen una cinta a todos los asistentes. Tienen las mejores carnes de la ciudad."
"September 20, 2017",50,Un lugar mágico,"Si vas a Bogotá, tienes que ir a Andrés Carne de Res. Es una locura!!!! Y la palabra calidad está en todo. La comida y la atención son excelentes y la experiencia... espectacular"
"September 20, 2017",50,LO MEJOR EN BAILE Y COMIDA,"Si estas en Bogotá no dejes de ir a este sitio, tienes diversión y buena comida garantizada. El personal se esmera por darte la mejor atención. 100% recomendado"
"September 20, 2017",50,Riquísimo,"Excelente restaurante, el servicio, la temática y la comida son excelentes. Recomiendo pedir el platillo lomo al trapo."
"September 17, 2017",40,Buen ambiente,"Buena música y buena comida un ambiente espectacular piso por piso , con muy buenas atenciones buenos shows"
"September 16, 2017",50,Espectacular,"La mejor opción, excelente todo, infracción, atención, servicio, rapidez, variedad de la carta. Sin dudarlo regresaría mil veces más"
"September 15, 2017",40,QUE RUMBA,"El grupo de Teatro: divertido, buen maquillaje y vestuario ingeniosos La comida: rica y rapida La musica : super"
"September 14, 2017",50,Muy bueno,"Excelente,maravilloso,espectacular todo muy rico . La atención muy buena Tatiana atiende muy bien muy atenta. Todo espectacular"
"September 14, 2017",40,Buenos momentos,Muy buena comida y atención. Este restaurante es para pasar un agradable rato con amigos y familia ....
"September 10, 2017",50,Lugar pintoresco,"Restaurant no clásico, con mucha diversión , variedad de música y comida. Excelente lugar para disfrutar"
"September 6, 2017",50,Excelente,"Buen servicio , buena atencion excelente lugar, cuanta con bar restaurante etc. Locales en diferentes sitios de bgta"
"August 5, 2017",50,Lugar obligado,"Es un restaurante único, muy diferente. Un lugar obligado para conocer. Cuidan cada detalle para que tengas una experiencia únicinolvidable"
"July 12, 2017",50,Cena con amigos,Feliz de haber conocido este restaurant. todo Riquisimo muy divertido y muy optimo para compartir con amigos
"July 11, 2017",30,Sitio pintoresco,Muy buena Decoracion aunq los platos son standard Buena música con recreación y entretenimiento para chicos
"June 28, 2017",50,Exposición fotografía,Maravillosa exposición lugar hermoso espacios arquitectónicos amplios y muy bien distribuidos muy recomendable visitar el museo
"June 21, 2017",30,Cena,"Lugar muy bonito, servicio muy bueno, sin embargo he comido en restaurantes más económicos y la comida mejor. Ambiente agradable"
"June 18, 2017",50,Espectacular,La comida la atención todo el ambiente nos sentimos espectacular simplemente el mejor servicio al estilo Andrés
"May 31, 2017",50,No.podes dejar de ir,Excelente decoración y diseño Ambiente divertido Excelente comida Las picadas y la carne estupenda Muy buena atención Muy recomendable
"May 13, 2017",10,Bastante mal,Demorado. Comida quemada. Mala experiencia. Chicharrón pasado de tiempo . Lo único bueno la club colombia
"May 10, 2017",40,Todo rico!,"Hermoso lugar! Su gente y todo lo que hemos comido y bebido allí excelente! Un lugar distinto, recomendable!"
"April 30, 2017",50,Great and fun!!,Ese es un restaurante delicioso además de un sitio bastante chevere e interesante para rumbear con los amigos!
"April 24, 2017",50,Se.,"Excelente ambiente y rica comida, recomendable para visitarlo tanto con la familia como entre amigos"
"April 23, 2017",50,Bacanisimo,"Sitio muy bueno, muy pintoresco, tiene mucha variedad, está muy bien ubicado, es toda una experiencia. Excelente"
"April 17, 2017",30,Esperaba mucho más,"Fue muy decepcionante, ya que esperaba algo muy diferente, el servicio no es tan excelente y los precios elevadisimos......"
"April 16, 2017",40,Buen lugar para pasar un rato agradable,"Muy grato ambiente, excelente decoración con motivos autóctonos. Buen lugar para picar. Nada trascendental los platos fuertes ni las carnes."
"March 31, 2017",50,Es de lo mejor,"Definitivamente el servicio la atención, la comida, la escenografía, todo es espectacular, muy recomendable"
"March 26, 2017",50,Restaurant Con Personalidad y muy buen servicio,"Un lugar excelente para disfrutar de una deliciosa comida, ricos postres, muy buen servicio, una decoracion unica."
"March 19, 2017",50,Maravilloso y divertido,"No entendía por que lo recomendaban tanto hasta que vivimos la experiencia.. muy rico, muy divertido y excelente servicio."
"March 4, 2017",50,Eat & party all in one,Buen lugar para ir de fiesta/rumba. La decoración del lugar está genial. Los cocktails soy muy ricos y bien preparados.
"March 2, 2017",40,Buen ambiente,"Decoración muy particular, sus meseros relajados y contentos con buena energía, la comida muy buena en su mayoría."
"February 18, 2017",50,Amazing,"Espetacular! Muy buena comida, decoración crazy, muy buena música, staff muy amigable y además de todo, muy divertido."
"February 17, 2017",30,Conocer,"buen servicio, el sitio muy agradable, la comida normal los precios no guarda relación con lo que ofrecen"
"February 15, 2017",50,las carnes,lugar muy pintoiresco agradable y con muchas cositas que ver la comida es estupenda y la atencion es maravillosa
"February 15, 2017",50,Las mejores carnes,"Es un restaurante excelente, las carnes de la mejor calidad, excelente atención, una carta para degustar."
"February 13, 2017",30,Normal,"Ubicación excelente, comida típica buena. Decoración popular e iluminación deficiente. No cumple con expectativas"
"February 1, 2017",40,cocina con visita obligada,el Restaurante Andres Carne de Res es una fusion de comida tipica y comida internacional..sus instalaciones son muy pintorescas
"January 25, 2017",40,Bueno pero muy costoso,"La comida es rica pero nada fuera de lo común, es mas una experiencia de entretenimiento que de comida."
"January 17, 2017",50,Imperdible,Un lugar muy divertido. Buena atención. Muchos turistas. Cenamos lomo al trapo el plato típico del local. Exquisito! Volveré.
"January 4, 2017",50,Fiesta de Año Nuevo,Excelente atención Excelente música Excelente comida Excelente parranda Excelente clima Excelente todo Vale la pena
"January 2, 2017",50,Delicioso como siempre,Súper ambiente como siempre. Cita es el preferido. No me gusta mucho la franquicia de los centros comerciales
"December 21, 2016",50,Me encanta,"El mejor servicio, delicioso, ha sido una experiencia incomparable, sin duda me sentí muy bien atendida gracias"
